Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
5,28/06/2016,49,10,50,0,1267,2,13,28/06/2016,2,1.965,,15.0481883,,,19,0,0
5,28/06/2016,49,10,50,0,1246,2,13,28/06/2016,2,1.951,,13.42954279,,,19,0,0
1,14/01/2016,49,2,11,0,216,2,9,14/01/2016,2,1.95,,7.504408464,,,36,0,0
1,14/01/2016,49,1,10,0,23,2,9,14/01/2016,2,1.947,,5.096785829,,,19,0,0
3,19/04/2016,49,6,31,700,652,2,12,25/03/2016,1,19.995,16.689,22.97428603,3.306,16.53413353,29,25,707.6
3,19/04/2016,49,6,31,700,652,2,12,25/03/2016,2,17.566,,20.14044015,,,29,25,707.6
3,19/04/2016,49,6,31,700,652,2,13,25/03/2016,1,21.942,18.629,22.32016749,3.313,15.09889709,29,25,707.6
3,19/04/2016,49,6,31,700,652,2,13,25/03/2016,2,21.253,,24.43478348,,,29,25,707.6
3,15/04/2016,49,6,31,700,653,2,11,21/03/2016,1,22.731,19.915,28.01891234,2.816,12.38836831,29,25,691.7
3,15/04/2016,49,6,31,700,653,2,11,21/03/2016,2,21.246,,28.03393803,,,29,25,691.7
3,15/04/2016,49,6,31,700,653,2,12,21/03/2016,1,24.865,21.756,28.95451222,3.109,12.503519,29,25,691.7
3,15/04/2016,49,6,31,700,653,2,12,21/03/2016,2,21.416,,27.90371535,,,29,25,691.7
3,13/04/2016,49,6,31,600,654,2,11,22/03/2016,1,27.151,23.781,31.24442797,3.37,12.41206585,29,22,612.6
3,13/04/2016,49,6,31,600,654,2,11,22/03/2016,2,29.464,,32.55967705,,,29,22,612.6
3,13/04/2016,49,6,31,600,654,2,12,22/03/2016,1,25.615,22.465,29.70579691,3.15,12.29748194,29,22,612.6
3,13/04/2016,49,6,31,600,654,2,12,22/03/2016,2,27.041,,29.33115628,,,29,22,612.6
3,07/04/2016,49,6,31,400,656,2,11,23/03/2016,1,35.601,17.654,44.2166104,17.947,50.4115053,29,15,404
3,07/04/2016,49,6,31,400,656,2,11,23/03/2016,2,31.449,,35.75013273,,,29,15,404
3,07/04/2016,49,6,31,400,656,2,12,23/03/2016,1,33.839,16.314,43.45330515,17.525,51.78935548,29,15,404
